t_s,alt_m,V_ms,climb_ms,cos_phi_theta,nose_dot_up,wx,wy,wz,freelook
30.10,1355.7,244.28,21.08,0.9940,0.0899,-0.0396,-0.6237,-0.9819,0
30.20,1357.8,244.39,20.82,0.9942,0.0892,0.0010,-0.7441,-1.3805,0
30.30,1359.9,244.41,20.95,0.9656,0.0833,0.0818,-0.7996,-1.9725,0
30.40,1362.0,244.30,21.50,0.8958,0.0653,0.2028,-0.8010,-2.0154,0
30.50,1364.2,244.04,22.18,0.7877,0.0402,0.1882,-0.7715,-2.0239,0
30.60,1366.5,243.66,22.26,0.6465,0.0109,0.5149,-0.7346,-2.0335,0
30.70,1368.7,243.19,22.14,0.4949,0.0154,0.9339,-0.3345,-1.5180,0
30.80,1370.9,242.73,22.59,0.3834,0.0387,0.7957,-0.0794,-0.9958,0
30.90,1373.2,242.36,23.47,0.4187,0.0577,0.4379,-0.0435,1.6290,0
31.00,1375.6,242.08,24.95,0.5011,0.0684,0.2398,-0.0740,0.6613,0
31.10,1378.2,241.88,26.17,0.5830,0.0733,0.1324,-0.0691,1.2322,0
31.20,1380.9,241.75,26.88,0.6872,0.0756,0.0675,-0.0617,1.4383,0
31.30,1383.5,241.67,26.92,0.7824,0.0765,0.0272,-0.0523,1.3856,0
31.40,1386.2,241.63,26.31,0.8553,0.0763,0.0032,-0.0450,1.2046,0
31.50,1388.8,241.63,25.22,0.9058,0.0752,-0.0103,-0.0457,0.9873,0
31.60,1391.2,241.65,23.87,0.9388,0.0736,-0.0170,-0.0471,0.7909,0
31.70,1393.5,241.70,22.44,0.9602,0.0719,-0.0196,-0.0455,0.6385,0
31.80,1395.7,241.77,21.05,0.9742,0.0704,-0.0200,-0.0386,0.5280,0
31.90,1397.7,241.86,19.77,0.9834,0.0693,-0.0194,-0.0277,0.4445,0
32.00,1399.7,241.96,18.66,0.9894,0.0686,-0.0184,-0.0170,0.3721,0
32.10,1401.5,242.08,17.75,0.9935,0.0700,-0.0161,0.3947,0.4587,0
32.20,1403.2,242.21,17.14,0.9973,0.0732,-0.0346,0.7795,1.2132,0
32.30,1404.9,242.30,16.90,0.9817,0.0699,0.0529,0.8250,2.0143,0
32.40,1406.6,242.28,17.25,0.9234,0.0574,0.1642,0.8196,2.0725,0
32.50,1408.4,242.11,18.20,0.8234,0.0430,0.2789,0.7835,2.0800,0
32.60,1410.3,241.79,19.31,0.6868,0.0236,0.5118,0.7170,2.0876,0
32.70,1412.2,241.40,20.40,0.5433,0.0336,0.7283,0.2063,1.4113,0
32.80,1414.4,241.06,21.95,0.4718,0.0581,0.5512,0.0507,-0.5594,0
32.90,1416.7,240.77,24.06,0.6038,0.0742,0.4126,0.1692,-2.0000,0
33.00,1419.2,240.49,26.36,0.7412,0.0832,0.2975,0.2544,-0.8971,0
33.10,1421.9,240.22,28.17,0.7585,0.0875,0.1406,0.1324,-0.3180,0
33.20,1424.8,240.02,29.27,0.7884,0.0905,0.0774,0.0832,-0.6320,0
33.30,1427.8,239.88,29.65,0.8303,0.0923,0.0460,0.0747,-0.7987,0
33.40,1430.7,239.78,29.46,0.8694,0.0925,0.0389,0.0988,-0.7264,0
33.50,1433.6,239.72,28.86,0.8998,0.0922,0.0321,0.1151,-0.6315,0
33.60,1436.5,239.69,28.02,0.9223,0.0917,0.0131,0.0850,-0.5286,0
33.70,1439.2,239.68,27.06,0.9396,0.0912,-0.0037,0.0502,-0.4790,0
33.80,1441.9,239.70,26.04,0.9533,0.0903,0.0177,0.1435,-0.3931,0
33.90,1444.4,239.74,25.10,0.9611,0.0894,0.0179,0.1581,-0.2184,0
34.00,1446.9,239.77,24.29,0.9646,0.0886,0.0102,0.1205,-0.1146,0
34.10,1449.3,239.82,23.62,0.9658,0.0878,0.0548,0.3371,0.0228,0
34.20,1451.6,239.85,23.16,0.9621,0.0869,0.0255,0.1626,0.1417,0
34.30,1453.9,239.88,22.86,0.9594,0.0868,0.0531,0.2699,0.0664,0
34.40,1456.2,239.89,22.69,0.9549,0.0860,0.0624,0.2885,0.1882,0
34.50,1458.4,239.89,22.70,0.9460,0.0838,0.1207,0.5146,0.3548,0
34.60,1460.7,239.81,22.97,0.9278,0.0790,0.1268,0.4646,0.2974,0
34.70,1463.0,239.66,23.39,0.9165,0.0784,0.0910,0.2663,0.2726,0
34.80,1465.4,239.52,23.80,0.9048,0.0767,0.1186,0.3638,0.2568,0
34.90,1467.8,239.36,24.15,0.8939,0.0755,0.1430,0.3513,0.2037,0
35.00,1470.2,239.19,24.49,0.8843,0.0728,0.2053,0.5100,0.1648,0
35.10,1472.7,238.98,24.81,0.8775,0.0720,0.0906,0.1764,0.0778,0
35.20,1475.2,238.81,24.94,0.8786,0.0730,0.1193,0.2577,-0.1182,0
35.30,1477.7,238.65,24.89,0.8804,0.0703,0.1341,0.3276,-0.0081,0
35.40,1480.2,238.48,24.77,0.8752,0.0679,0.2540,0.5805,0.5256,0
35.50,1482.6,238.24,24.92,0.7924,0.0531,0.2186,0.5879,1.7709,0
35.60,1485.1,237.93,25.10,0.7889,0.0500,0.2920,0.3848,-0.4563,0
35.70,1487.7,237.61,25.15,0.8169,0.0520,0.2575,0.3486,-0.5716,0
35.80,1490.2,237.26,25.18,0.7820,0.0440,0.2948,0.7211,1.6700,0
35.90,1492.7,236.85,25.13,0.6668,0.0276,0.2551,0.2728,0.6134,0
36.00,1495.2,236.48,24.84,0.6731,0.0304,0.3774,0.3961,0.5127,0
36.10,1497.7,236.13,24.58,0.7105,0.0327,0.3362,0.3140,-0.9631,0
36.20,1500.1,235.79,24.27,0.7587,0.0342,0.2974,0.3432,-0.8025,0
36.30,1502.5,235.45,23.78,0.8091,0.0353,0.1504,0.1944,-0.6951,0
36.40,1504.8,235.16,22.98,0.8369,0.0347,0.1860,0.3370,-0.3773,0
36.50,1507.1,234.87,22.09,0.8508,0.0328,0.1988,0.4124,-0.2029,0
36.60,1509.2,234.58,21.18,0.8579,0.0293,0.1767,0.4187,-0.1122,0
36.70,1511.3,234.28,20.31,0.8466,0.0228,0.2594,0.6480,0.9552,0
36.80,1513.3,233.90,19.81,0.7646,0.0090,0.2414,0.4274,0.7590,0
36.90,1515.3,233.50,19.40,0.6885,-0.0002,0.3119,0.5150,1.7891,0
37.00,1517.2,233.12,18.82,0.5452,-0.0107,0.3969,0.3590,1.8169,0
37.10,1519.0,232.79,17.82,0.4294,-0.0109,0.4758,0.1764,0.4691,0
37.20,1520.7,232.53,16.92,0.4774,-0.0042,0.5211,0.3008,-0.0652,0
37.30,1522.4,232.29,16.23,0.4567,-0.0079,0.4509,0.2786,0.0480,0
37.40,1524.0,232.07,15.56,0.5408,-0.0073,0.4338,0.2946,-1.0244,0
37.50,1525.5,231.86,15.09,0.6587,-0.0061,0.2892,0.2316,-1.7740,0
37.60,1527.0,231.64,14.51,0.7563,-0.0071,0.2833,0.3920,-1.0196,0
37.70,1528.4,231.40,13.71,0.7764,-0.0148,0.2545,0.4567,-0.0387,0
37.80,1529.7,231.12,12.80,0.8099,-0.0179,0.2304,0.3758,-0.5563,0
37.90,1530.9,230.85,11.74,0.8353,-0.0198,0.2159,0.4390,-0.2562,0
38.00,1532.0,230.55,10.74,0.8042,-0.0308,0.1995,0.4064,0.1798,0
38.10,1533.1,230.23,9.75,0.8267,-0.0322,0.2390,0.4109,-0.2830,0
38.20,1534.0,229.90,8.88,0.7782,-0.0413,0.2643,0.5352,1.3145,0
38.30,1534.8,229.54,8.28,0.6599,-0.0553,0.2916,0.4288,1.6719,0
38.40,1535.6,229.20,7.47,0.5463,-0.0617,0.4165,0.3433,1.5299,0
38.50,1536.3,228.91,6.29,0.3855,-0.0666,0.6052,0.2690,1.7628,0
38.60,1536.9,228.69,4.81,0.3543,-0.0586,0.5963,0.1562,-0.1581,0
38.70,1537.3,228.53,3.91,0.4564,-0.0522,0.4888,0.2144,-1.5855,0
38.80,1537.7,228.37,3.65,0.5797,-0.0508,0.3953,0.2820,-1.6420,0
38.90,1538.0,228.20,3.55,0.6274,-0.0550,0.3826,0.4119,-0.0141,0
39.00,1538.4,228.01,3.27,0.6186,-0.0615,0.3512,0.3487,-0.0524,0
39.10,1538.7,227.82,2.89,0.6763,-0.0598,0.3965,0.3529,-0.3936,0
39.20,1538.9,227.62,2.66,0.7112,-0.0539,0.4433,0.3515,0.0463,0
39.30,1539.2,227.43,2.80,0.7483,-0.0448,0.2981,0.2055,-0.7005,0
39.40,1539.5,227.27,3.06,0.7535,-0.0401,0.3737,0.4546,0.4622,0
39.50,1539.8,227.09,3.47,0.7467,-0.0385,0.2961,0.3060,-0.2150,0
39.60,1540.2,226.93,3.88,0.7643,-0.0347,0.3371,0.4070,-0.0588,0
39.70,1540.6,226.74,4.31,0.7566,-0.0355,0.2782,0.3350,-0.0567,0
39.80,1541.0,226.57,4.61,0.7790,-0.0325,0.1465,0.1445,-0.4246,0
39.90,1541.5,226.46,4.56,0.8086,-0.0293,0.0796,0.0883,-0.5489,0
40.00,1541.9,226.42,4.10,0.8436,-0.0275,0.0406,0.0652,-0.6727,0
40.10,1542.3,226.44,3.25,0.8791,-0.0268,0.0157,0.0523,-0.7094,0
40.20,1542.6,226.52,2.11,0.9099,-0.0270,0.0001,0.0435,-0.6730,0
40.30,1542.7,226.63,0.79,0.9343,-0.0277,-0.0094,0.0389,-0.5974,0
40.40,1542.7,226.79,-0.60,0.9524,-0.0288,-0.0147,0.0406,-0.5125,0
40.50,1542.6,226.97,-1.96,0.9657,-0.0280,0.0399,-0.1445,-0.4705,0
40.60,1542.3,227.20,-2.93,0.9818,-0.0184,-0.0003,-0.3381,-0.8880,0
40.70,1542.0,227.47,-3.56,0.9969,-0.0115,-0.0322,-0.8487,-1.3499,0
40.80,1541.6,227.70,-3.74,0.9928,-0.0081,0.1310,-0.8771,-2.3493,0
40.90,1541.3,227.81,-2.86,0.9347,-0.0114,0.1647,-0.8212,-2.4773,0
41.00,1541.1,227.79,-1.41,0.8190,-0.0327,0.1673,-0.7864,-2.4898,0
41.10,1541.0,227.65,-0.50,0.6542,-0.0618,0.5011,-0.7691,-2.4935,0
41.20,1541.0,227.41,-0.31,0.4733,-0.0803,1.0530,-0.7654,-1.8486,0
41.30,1540.9,227.02,-0.71,0.3693,-0.0777,1.0506,-0.2286,-0.8260,0
41.40,1540.8,226.65,-0.87,0.3203,-0.0556,0.6875,-0.0126,-0.4466,0
41.50,1540.7,226.41,-0.59,0.2857,-0.0335,0.6816,0.0141,-0.3669,0
41.60,1540.7,226.25,0.13,0.2721,-0.0123,0.6209,0.0046,0.7621,0
41.70,1540.8,226.15,1.76,0.4219,0.0018,0.3384,-0.0597,0.8178,0
41.80,1541.1,226.12,3.79,0.4924,0.0084,0.1844,-0.0648,1.0963,0
41.90,1541.6,226.14,5.56,0.6071,0.0119,0.0997,-0.0572,1.5444,0
42.00,1542.2,226.20,6.86,0.7253,0.0140,0.0476,-0.0482,1.5894,0
42.10,1542.9,226.30,7.48,0.8203,0.0148,0.0156,-0.0417,1.4180,0
42.20,1543.7,226.42,7.46,0.8867,0.0143,-0.0029,-0.0432,1.1684,0
42.30,1544.4,226.56,6.94,0.9296,0.0131,-0.0127,-0.0451,0.9269,0
42.40,1545.0,226.73,6.13,0.9565,0.0115,-0.0170,-0.0442,0.7318,0
42.50,1545.6,226.91,5.19,0.9734,0.0100,-0.0183,-0.0385,0.5878,0
42.60,1546.1,227.11,4.20,0.9869,0.0054,-0.2572,0.4208,1.3783,0
42.70,1546.4,227.34,2.61,0.9988,-0.0026,-0.0354,0.7832,2.3901,0
42.80,1546.6,227.56,1.15,0.9573,-0.0168,0.0166,0.7867,2.3996,0
42.90,1546.6,227.70,0.02,0.9595,-0.0226,0.1575,0.4967,-0.5623,0
43.00,1546.6,227.76,-0.37,0.9185,-0.0206,0.2086,0.7930,2.1236,0
43.10,1546.6,227.69,0.04,0.8012,-0.0502,0.0853,0.7534,2.4555,0
43.20,1546.6,227.54,-0.04,0.6349,-0.0697,0.6886,0.6733,2.3326,0
43.30,1546.6,227.32,0.26,0.4973,-0.0550,1.0481,0.3425,1.4020,0
43.40,1546.7,227.07,1.33,0.4004,-0.0279,0.8584,0.1316,1.0108,0
43.50,1546.9,226.86,2.79,0.4423,-0.0084,0.4441,0.0452,-1.8336,0
43.60,1547.3,226.72,4.89,0.5352,0.0032,0.2374,0.0733,-0.6098,0
43.70,1547.9,226.66,6.73,0.6104,0.0088,0.1466,0.0627,-1.1552,0
43.80,1548.6,226.66,8.09,0.7066,0.0130,0.0752,0.0566,-1.3494,0
43.90,1549.5,226.70,8.83,0.7948,0.0168,0.0525,-0.0389,-1.3186,0
44.00,1550.4,226.79,9.05,0.8651,0.0207,0.0140,0.0218,-1.2031,0
44.10,1551.2,226.91,8.78,0.9145,0.0210,-0.0189,0.0070,-1.0078,0
44.20,1552.1,227.05,8.12,0.9480,0.0198,-0.0215,0.0191,-0.8605,0
44.30,1552.9,227.22,7.23,0.9701,0.0186,-0.0241,0.0032,-0.7412,0
44.40,1553.5,227.41,6.27,0.9842,0.0178,-0.0190,0.0101,-0.6097,0
44.50,1554.1,227.61,5.36,0.9921,0.0173,-0.0175,0.0059,-0.4632,0
44.60,1554.6,227.82,4.55,0.9962,0.0169,-0.0182,-0.0272,-0.3387,0
44.70,1555.0,228.04,3.87,0.9986,0.0169,-0.0174,-0.0408,-0.3286,0
44.80,1555.4,228.27,3.32,0.9996,0.0167,-0.0155,-0.0128,-0.2147,0
44.90,1555.7,228.50,2.88,0.9998,0.0166,-0.0148,-0.0052,-0.1130,0
45.00,1555.9,228.74,2.55,0.9999,0.0165,-0.0144,-0.0023,-0.0496,0
45.10,1556.2,228.98,2.30,0.9999,0.0165,-0.0142,-0.0010,-0.0159,0
45.20,1556.4,229.22,2.12,0.9999,0.0164,-0.0140,-0.0005,-0.0003,0
45.30,1556.6,229.45,1.98,0.9999,0.0164,-0.0139,-0.0002,0.0056,0
45.40,1556.8,229.69,1.89,0.9999,0.0164,-0.0138,-0.0001,0.0067,0
45.50,1557.0,229.93,1.94,0.9969,0.0159,-0.0975,-0.7595,-1.8258,0
45.60,1557.2,230.13,1.79,0.9554,0.0010,0.0918,-0.8777,-2.3681,0
45.70,1557.3,230.22,1.98,0.8579,-0.0102,0.5294,-0.8256,-2.4176,0
45.80,1557.6,230.16,3.15,0.7103,-0.0235,0.5446,-0.7931,-2.4226,0
45.90,1558.0,229.95,4.53,0.5522,-0.0276,1.1323,-0.7785,-1.6580,0
46.00,1558.5,229.55,6.07,0.4526,-0.0197,1.1051,-0.3232,-0.7843,0
46.10,1559.2,229.11,7.91,0.4062,0.0073,0.7061,-0.0058,-0.3524,0
46.20,1560.1,228.78,10.03,0.3640,0.0212,0.6822,-0.4939,-0.7732,0
46.30,1561.2,228.48,10.75,0.2773,-0.0188,0.7297,-0.8000,-0.9587,0
46.40,1562.2,228.11,8.89,0.2064,-0.0635,0.7136,-0.4439,-0.5282,0
46.50,1562.9,227.76,5.60,0.1688,-0.0917,0.7295,-0.3420,-0.3670,0
46.60,1563.3,227.45,1.89,0.1500,-0.0959,0.7677,-0.0993,-0.1956,0
46.70,1563.3,227.22,-1.38,0.1389,-0.0936,0.7973,-0.0872,-0.1698,0
46.80,1563.0,227.04,-4.14,0.1294,-0.0919,0.8046,-0.1285,-0.1781,0
46.90,1562.4,226.91,-6.49,0.1227,-0.0870,0.8031,-0.0553,-0.1192,0
47.00,1561.7,226.81,-8.38,0.1160,-0.0855,0.8047,-0.1134,-0.1439,0
47.10,1560.7,226.73,-10.04,0.1105,-0.0844,0.8055,-0.0559,-0.0979,0
47.20,1559.7,226.67,-11.31,0.1097,-0.0768,0.8079,-0.0184,-0.0591,0
47.30,1558.5,226.63,-12.12,0.1086,-0.0708,0.8104,-0.0603,-0.0787,0
47.40,1557.2,226.60,-12.75,0.1010,-0.0776,0.8100,-0.3157,-0.2204,0
47.50,1555.9,226.57,-13.81,0.0915,-0.0854,0.8060,-0.0790,-0.1018,0
47.60,1554.5,226.55,-14.78,0.0906,-0.0818,0.8075,-0.0569,-0.0701,0
47.70,1552.9,226.53,-15.53,0.0874,-0.0829,0.8104,-0.1330,-0.1233,0
47.80,1551.3,226.52,-16.46,0.0741,-0.0997,0.8095,-0.3803,-0.3100,0
47.90,1549.6,226.50,-18.25,0.0548,-0.1228,0.8037,-0.2520,-0.2579,0
48.00,1547.6,226.49,-20.79,0.0155,-0.1598,0.7998,-0.7342,-1.0304,0
48.10,1545.3,226.46,-25.42,-0.0472,-0.2113,0.7753,-0.2837,-0.4982,0
48.20,1542.5,226.46,-30.66,-0.0497,-0.2171,0.7817,0.0199,-0.0765,0
48.30,1539.2,226.51,-35.04,-0.0364,-0.2147,0.8128,0.0737,0.0007,0
48.40,1535.5,226.59,-38.37,-0.0087,-0.2009,0.8247,0.1657,0.1715,0
48.50,1531.5,226.69,-40.36,0.0257,-0.1824,0.8229,0.2487,0.2802,0
48.60,1527.5,226.80,-40.71,0.0769,-0.1458,0.8163,0.2653,0.3694,0
48.70,1523.5,226.90,-39.43,0.1125,-0.1207,0.8088,0.0536,0.1386,0
48.80,1519.6,226.98,-37.42,0.1314,-0.1065,0.8078,-0.0473,0.0237,0
48.90,1516.0,227.06,-35.23,0.1407,-0.0981,0.8113,-0.0308,0.0174,0
49.00,1512.6,227.13,-32.88,0.1548,-0.0818,0.8126,0.0814,0.1297,0
49.10,1509.4,227.19,-29.94,0.1759,-0.0563,0.8098,0.0967,0.1642,0
49.20,1506.6,227.23,-26.37,0.1940,-0.0309,0.8070,0.1499,0.1985,0
49.30,1504.2,227.25,-22.15,0.2139,-0.0014,0.8050,0.1497,0.2309,0
49.40,1502.3,227.24,-17.28,0.2314,0.0272,0.8027,0.0480,0.1542,0
49.50,1500.8,227.22,-12.17,0.2337,0.0435,0.8038,-0.0885,-0.0143,0
49.60,1499.9,227.18,-7.28,0.2349,0.0646,0.8080,0.1650,0.2127,0
49.70,1499.4,227.11,-1.78,0.2592,0.1050,0.8031,0.1712,0.3394,0
49.80,1499.6,227.01,4.73,0.3027,0.1558,0.7922,0.3232,0.8054,0
49.90,1500.5,226.87,12.65,0.3824,0.2017,0.4426,0.2011,1.6290,0
50.00,1502.2,226.77,21.11,0.4825,0.2275,-0.1354,0.2989,0.7930,0
50.10,1504.7,226.76,28.43,0.6280,0.2407,-0.3804,0.3199,2.2808,0
50.20,1507.9,226.81,34.15,0.7932,0.2414,-0.1557,0.2012,2.4952,0
50.30,1511.6,226.87,38.64,0.9088,0.2413,-0.0814,0.1564,2.5042,0
50.40,1515.6,226.93,42.13,0.9613,0.2394,-0.1390,0.3593,1.7631,0
50.50,1520.0,226.96,44.45,0.9720,0.2288,-0.0757,0.6547,1.5523,0
50.60,1524.5,226.93,46.01,0.9622,0.2219,-0.0031,0.4423,0.9043,0
50.70,1529.2,226.82,47.40,0.9394,0.2190,0.0991,0.5807,0.7552,0
50.80,1534.0,226.64,48.81,0.9214,0.2177,0.0650,0.2125,0.4864,0
50.90,1538.9,226.47,50.02,0.9086,0.2192,0.0439,0.0947,0.1779,0
51.00,1544.0,226.33,50.85,0.9084,0.2189,-0.0020,0.0438,-0.1517,0
51.10,1549.1,226.23,50.87,0.9193,0.2015,-0.1297,0.2791,-0.2516,0
51.20,1554.1,226.12,49.63,0.9277,0.1827,-0.0857,0.1804,-0.1633,0
51.30,1559.0,226.01,47.93,0.9308,0.1750,0.1054,0.4767,0.0232,0
51.40,1563.7,225.87,46.68,0.9210,0.1734,0.1115,0.4928,0.3172,0
51.50,1568.3,225.67,45.75,0.8955,0.1549,-0.0093,0.7513,1.3277,0
51.60,1572.8,225.38,44.46,0.8726,0.1330,0.0542,0.6567,0.9161,0
51.70,1577.2,225.00,43.07,0.7621,0.1008,0.0359,0.7266,2.3883,0
51.80,1581.4,224.55,41.35,0.6811,0.0712,0.1767,0.3279,-0.8687,0
51.90,1585.4,224.13,39.05,0.7753,0.0692,0.1260,0.1679,-1.2182,0
52.00,1589.2,223.77,36.32,0.8251,0.0577,0.0749,0.4369,-0.6193,0
52.10,1592.6,223.39,33.13,0.8152,0.0344,0.0902,0.6877,1.5210,0
52.20,1595.8,222.95,30.04,0.6679,-0.0082,0.0423,0.6996,2.5002,0
52.30,1598.6,222.45,26.32,0.4555,-0.0625,0.0160,0.6440,2.6231,0
52.40,1601.0,222.00,21.09,0.2268,-0.0947,0.2830,0.2111,1.7513,0
52.50,1602.8,221.69,15.53,0.2714,-0.0961,0.3714,0.0840,-1.8939,0
52.60,1604.1,221.48,11.13,0.4100,-0.0943,0.2587,0.1364,-0.6732,0
52.70,1605.0,221.36,7.35,0.5017,-0.0952,0.1477,0.1185,-1.3029,0
52.80,1605.5,221.30,3.85,0.6220,-0.0979,0.1401,0.2261,-1.5000,0
52.90,1605.7,221.30,0.30,0.7254,-0.1043,0.0506,0.1393,-1.3386,0
53.00,1605.5,221.36,-3.34,0.8058,-0.1053,-0.0659,-0.2260,-1.2961,0
53.10,1605.0,221.54,-6.83,0.8982,-0.0823,-0.1071,-0.8536,-2.3677,0
53.20,1604.2,221.83,-9.36,0.9791,-0.0503,0.1565,-0.9352,-2.6304,0
53.30,1603.2,222.10,-9.56,0.9979,-0.0105,0.6714,-0.8652,-2.6535,0
53.40,1602.4,222.22,-5.34,0.9438,0.0586,0.6127,-0.8198,-2.6520,0
53.50,1602.2,222.17,1.16,0.8221,0.0611,0.3615,-0.8039,-2.6515,0
53.60,1602.7,222.03,6.47,0.6489,0.0471,0.7602,-0.8022,-2.2001,0
53.70,1603.5,221.77,10.70,0.5232,0.0549,1.0555,-0.4621,-1.0389,0
53.80,1604.8,221.42,14.71,0.4576,0.0792,0.6983,-0.0628,-0.4613,0
53.90,1606.5,221.15,18.64,0.4197,0.1082,0.6578,0.0110,-0.3003,0
54.00,1608.6,220.94,22.63,0.3831,0.1381,0.7470,-0.0474,-0.3616,0
54.10,1611.1,220.74,26.52,0.3286,0.1566,0.7795,-0.0791,-0.3918,0
54.20,1613.9,220.54,30.17,0.2887,0.1776,0.7742,-0.0152,-0.2235,0
54.30,1617.1,220.35,33.84,0.3375,0.2008,0.5702,0.1736,1.8872,0
54.40,1620.7,220.21,38.54,0.4437,0.2429,-0.0618,0.3552,1.0043,0
54.50,1624.9,220.16,43.64,0.5906,0.2959,-0.2050,0.9006,2.3812,0
54.60,1629.5,220.15,49.59,0.7615,0.3510,-0.0196,0.8995,2.6702,0
54.70,1634.9,220.07,56.33,0.8763,0.3845,-0.2293,0.8537,2.7064,0
54.80,1640.8,219.90,62.29,0.9302,0.3669,-0.4412,0.8164,2.7141,0
54.90,1647.3,219.64,65.88,0.9080,0.3224,-0.2622,0.7842,2.7207,0
55.00,1654.0,219.27,67.86,0.8007,0.2873,0.0290,0.7602,2.7296,0
55.10,1660.8,218.82,68.89,0.6232,0.2469,0.2206,0.7497,2.7412,0
55.20,1667.7,218.30,68.69,0.3851,0.2095,0.2808,0.7526,2.7550,0
55.30,1674.5,217.76,65.98,0.1178,0.1459,0.4378,0.7682,2.7702,0
55.40,1680.8,217.24,59.72,-0.1526,0.0680,0.8170,0.7875,2.3580,0
55.50,1686.2,216.70,49.57,-0.3363,-0.0288,0.7489,0.7958,1.5124,0
55.60,1690.5,216.18,36.32,-0.4491,-0.1243,0.5507,0.7895,1.1742,0
55.70,1693.3,215.71,21.20,-0.5209,-0.2173,0.5866,0.7750,0.7394,0
55.80,1694.5,215.28,4.90,-0.5505,-0.3114,0.6751,0.7520,0.4660,0
55.90,1694.1,214.87,-12.05,-0.5499,-0.3887,0.7300,0.3258,0.2303,0
56.00,1692.0,214.58,-28.63,-0.5351,-0.4487,0.7703,0.4459,0.3265,0
56.10,1688.2,214.39,-45.05,-0.5198,-0.5189,0.7684,0.3222,0.2515,0
56.20,1682.9,214.32,-60.80,-0.4769,-0.5450,0.7749,-0.6766,-0.3504,0
56.30,1676.1,214.52,-73.55,-0.3975,-0.5127,0.8492,-0.9852,-0.5542,0
56.40,1668.2,214.87,-82.86,-0.3223,-0.4863,0.8598,-0.4766,-0.2990,0
56.50,1659.5,215.26,-90.14,-0.2667,-0.4878,0.8112,-0.1480,-0.1281,0
56.60,1650.1,215.66,-96.36,-0.2199,-0.4984,0.7879,-0.1168,-0.1068,0
56.70,1640.2,216.08,-101.58,-0.1682,-0.4978,0.7896,-0.1699,-0.1610,0
56.80,1629.8,216.52,-105.71,-0.1181,-0.4987,0.7922,-0.0823,-0.1082,0
56.90,1619.1,216.96,-108.88,-0.0659,-0.4891,0.7920,-0.2542,-0.1921,0
57.00,1608.1,217.40,-110.67,-0.0095,-0.4655,0.7864,-0.2783,-0.2241,0
57.10,1597.0,217.82,-110.94,0.0502,-0.4304,0.7790,-0.5897,-0.4208,0
57.20,1586.0,218.22,-108.71,0.1770,-0.3592,-0.3348,-0.7803,-2.2300,0
57.30,1575.4,218.70,-103.69,0.3923,-0.3237,-0.4169,-0.2210,-2.6910,0
57.40,1565.3,219.28,-98.35,0.5991,-0.3310,-0.4045,-0.1782,-2.7350,0
57.50,1555.7,219.92,-94.01,0.7668,-0.3396,-0.0665,-0.0375,-2.7249,0
57.60,1546.5,220.57,-90.37,0.8837,-0.3399,-0.0392,-0.1384,-2.7074,0
57.70,1537.6,221.20,-87.13,0.9416,-0.3232,0.2708,-0.8526,-2.6891,0
57.80,1529.1,221.74,-82.51,0.9517,-0.2761,0.6303,-0.8535,-2.6723,0
57.90,1521.2,222.12,-75.45,0.9043,-0.2254,0.7816,-0.8279,-2.6591,0
58.00,1514.2,222.33,-67.03,0.7960,-0.1942,0.7366,-0.7990,-2.6507,0
58.10,1507.9,222.44,-59.49,0.6533,-0.1909,0.7945,-0.6176,-1.7293,0
58.20,1502.3,222.50,-53.28,0.5902,-0.1707,0.7424,-0.1790,-0.5795,0
58.30,1497.3,222.56,-47.16,0.5756,-0.1310,0.7018,0.0481,-0.1690,0
58.40,1492.9,222.66,-40.46,0.5990,-0.0822,0.5018,0.1774,0.5501,0
58.50,1489.2,222.83,-33.33,0.6492,-0.0510,0.1633,0.1307,0.4573,0
58.60,1486.3,223.05,-26.74,0.7168,-0.0189,0.0474,0.6178,1.3712,0
58.70,1484.0,223.33,-20.18,0.8358,0.0204,-0.1242,0.6576,2.2394,0
58.80,1482.3,223.60,-14.19,0.9366,0.0392,-0.1088,0.5871,1.8593,0
58.90,1481.1,223.85,-9.06,0.9845,0.0472,0.0015,0.2211,1.7771,0
59.00,1480.5,224.07,-4.57,0.9985,0.0513,0.0177,0.0931,1.1845,0
59.10,1480.2,224.30,-0.80,0.9965,0.0538,-0.0039,0.0596,0.6100,0
59.20,1480.3,224.51,2.18,0.9931,0.0550,0.0039,0.0445,0.2194,0
59.30,1480.7,224.73,4.47,0.9922,0.0561,-0.0005,0.0323,-0.0167,0
59.40,1481.2,224.95,6.09,0.9940,0.0477,-0.3219,-0.3287,-0.2827,0
59.50,1481.8,225.18,5.87,0.9990,0.0158,-0.3549,-0.2740,-0.7239,0
59.60,1482.3,225.42,4.00,0.9996,-0.0046,-0.1498,-0.0956,-0.5779,0
59.70,1482.6,225.66,1.78,0.9977,-0.0152,-0.1060,-0.0588,-0.2603,0
59.80,1482.6,225.91,-0.53,0.9961,-0.0322,-0.3355,0.0555,-0.0700,0
59.90,1482.4,226.17,-3.86,0.9956,-0.0661,-0.4050,0.4351,0.2338,0
60.00,1481.8,226.43,-8.55,0.9921,-0.1035,-0.4511,0.8869,-0.0054,0
60.10,1480.6,226.62,-14.35,0.9879,-0.1339,-0.2733,0.6234,0.0344,0
60.20,1478.9,226.74,-20.13,0.9857,-0.1523,-0.1922,0.2697,0.4043,0
60.30,1476.6,226.88,-25.06,0.9871,-0.1595,-0.0277,0.0115,0.4760,0
